year,month,barley,dates,cuscuta,cress,sesame,wool
,,gramme silver /100 litre,gramme silver /100 litre,gramme silver /100 litre,gramme silver /100 litre,gramme silver /100 litre,gramme silver per mina (=0.5 kg)
-582,12,5.78,,,,,
-581,11,4.63,,,,,
-575,10,4.05,,,,,
-572,5,10.62,,,,,
-567,?,,3.47,,,,
-566,10,4.33,,,,,
-566,11,4.63,,,,,
-563,6,,2.24,,,,
-554,?,,2.78,,,,
-553,4,,3.47,,,,
-549,2,,2.31,,,,
-539,4,,4.63,,,,
-528,11,,3.09,,,,
-506,1,25.24,,,,,
-500,8,46.28,,,,,
-498,?,29.55,,,,,
-464,8,,,,,138.83,
-464,9,,,,,138.83,
-453,1,48.59,17.35,5.79,,104.13,
-453,2,50.09,17.35,5.79,,104.13,
-434,12,,9.26,,,,4.17
-429,9,8.33,,,,,
-429,1,,,,,,3.79
-426,1,,9.26,,,,
-425,11,,13.88,,,,
-424,3,,,,,,4.17
-421,9,,9.26,,,,
-421,10,,9.26,,,,
-421,10,,6.94,,,,
-420,2,18.54,,,,,
-385,12,29.82,14.61,,,,
-383,5,,9.58,19.83,39.67,111.07,
-383,6,,8.98,19.83,39.67,111.07,
-382,4,25.65,,,,,
-382,5,23.14,,,,,
-382,6,18.93,7.79,12.62,,,4.17
-382,7,18.93,7.31,12.62,,,4.17
-382,8,,,,,55.53,
-382,9,19.83,,3.47,,,
-381,12,8.68,,,,,4.17
-380,1,8.68,,,,,4.17
-379,2,11.27,9.26,,,,
-379,3,10.68,,,,,
-379,9,,,,,55.53,4.17
-379,10,15.87,,,,55.53,4.17
-379,11,15.87,,,,,4.17
-376,9,13.22,,,,,
-376,10,12.6,,,,,
-376,12,11.57,,,,55.53,4.17
-375,1,10.74,,,,55.53,4.17
-375,2,9.92,,,,,
-374,10,,11.9,,,,
-374,11,,13.88,,,,
-373,2,,12.62,,,,
-373,3,,12.62,,,,
-373,6,,,2.78,69.42,46.28,2.78
-373,7,,,2.78,69.42,46.28,2.78
-373,8,,13.88,,,,
-373,9,21.36,13.88,,,37.02,2.78
-373,10,,,,,37.02,2.78
-373,12,25.24,9.92,,,,
-372,1,30.22,9.92,,,,
-372,4,,,,,11.57,
-371,7,,13.69,,,,
-371,8,,13.22,,,,
-371,9,23.14,12.62,,,,
-371,10,23.14,13.52,4.63,138.83,,
-371,11,,,4.63,138.83,,
-370,3,8.41,,,,,
-370,4,8.41,,,,,
-369,3,13.88,10.68,,,,
-369,4,12.83,10.68,,,,
-369,5,,,7.71,,,
-369,6,,10.68,7.71,39.67,83.3,
-369,7,,10.32,,39.67,83.3,
-368,5,,,,34.71,,
-367,4,,,,,79.33,
-367,5,,13.88,,,,
-367,7,,13.88,2.78,39.67,39.67,
-367,8,21.36,13.18,2.57,39.67,39.67,
-367,9,21.36,13.22,2.7,34.71,46.28,
-367,10,21.36,,3.09,34.71,46.28,
-347,12,8.03,,1.16,19.83,,1.67
-346,1,7.21,5.56,1.09,18.52,23.14,1.67
-346,2,7.12,5.71,1.16,17.35,23.14,1.67
-346,3,9.26,6.08,0.78,14,27.61,1.67
-344,12,,,,9.26,19.83,1.04
-343,1,,2.78,,9.26,19.83,1.04
-343,2,,2.78,,,,
-343,7,,3.35,,,,
-343,8,,3.35,,,,
-339,4,,,,11.57,,
-339,5,,,,10.07,,
-334,5,,3.16,,,,
-334,6,,3.16,,,,
-334,7,,3.23,0.85,,,
-334,8,,3.23,0.85,,,
-333,8,,,,,27.77,1.39
-333,9,6.04,4.96,,,,
-333,10,5.79,,,13.88,23.14,1.39
-333,11,5.65,,1.16,13.88,23.14,1.39
-331,9,,4.63,1.49,,23.14,1.67
-331,10,,4.63,1.16,,23.14,1.67
-329,3,11.57,,,,,
-329,4,11.57,,,,,
-329,8,,13.22,2.31,34.71,,
-329,9,16.33,14.31,2.31,34.71,,
-329,10,,15.64,,,,
-329,12,,9.8,,,,
-325,4,,19.83,1.54,,,
-325,5,37.49,21.9,1.54,46.28,,4.17
-325,6,17.92,19.83,,46.28,,4.17
-325,7,18.92,21.36,,,,4.17
-325,8,21.42,21.36,,,,
-325,9,23.14,20.32,4.11,,,
-323,5,,,,83.3,238,
-323,6,14.61,,,83.3,238,
-323,7,26.65,,,,,
-323,12,,,,34.71,138.83,8.33
-322,1,67.41,32.34,6.31,34.71,138.83,8.33
-322,2,64.71,29.84,4.81,87.93,138.83,8.33
-322,3,61.7,35.27,4.63,69.42,138.83,8.33
-322,4,,40.53,4.63,69.42,138.83,
-322,5,,42.72,4.63,69.42,138.83,
-322,7,,,,69.42,138.83,8.33
-322,8,,34.71,6.94,67.92,138.83,8.33
-322,9,69.42,36.96,6.94,46.28,138.83,8.33
